image_path,label,split,source,ood_type,ood_subtype,source_dataset,source_split,source_image_hash,parent_image_hash,synthetic_transform,semantic_class,is_synthetic_surrogate,patient_id,scanner,license_status,notes
images/dissertation_v1/id/train/id_train_000000.png,0,train,synthetic_faf,id,id,UCL SynthEye synthetic FAF,train,cbba7df52444e99301e27d04e16cc1d0756e4905b84c24362fd2427e3a29fafc,,,,,,synthetic_heidelberg,pending_manual_review,syntheye_class=unavailable; synthetic_id_faf
images/dissertation_v1/id/train/id_train_000001.png,0,train,synthetic_faf,id,id,UCL SynthEye synthetic FAF,train,b36454ea6d4be4fcbef5ce77d8476f2c92dc024adff4e28d62a242559d053986,,,,,,synthetic_heidelberg,pending_manual_review,syntheye_class=unavailable; synthetic_id_faf
images/dissertation_v1/id/train/id_train_000002.png,0,train,synthetic_faf,id,id,UCL SynthEye synthetic FAF,train,00eacc18b8aa82e1e9e14ce3764c62e9d88b3d4f94a05011113735b0538e3513,,,,,,synthetic_heidelberg,pending_manual_review,syntheye_class=unavailable; synthetic_id_faf
images/dissertation_v1/id/train/id_train_000003.png,0,train,synthetic_faf,id,id,UCL SynthEye synthetic FAF,train,793da8c3ec179bfc802e2279bcf366810fc2645d388f0a6db4b6b0ff965dbc48,,,,,,synthetic_heidelberg,pending_manual_review,syntheye_class=unavailable; synthetic_id_faf
images/dissertation_v1/id/train/id_train_000004.png,0,train,synthetic_faf,id,id,UCL SynthEye synthetic FAF,train,f0527d05190140ad5f63322c4a0be020c713437091be045a4a986fcce17a7dc6,,,,,,synthetic_heidelberg,pending_manual_review,syntheye_class=unavailable; synthetic_id_faf
images/dissertation_v1/id/train/id_train_000005.png,0,train,synthetic_faf,id,id,UCL SynthEye synthetic FAF,train,6a309186d5c5653e5b2fa6cacc57448d5462205c0a81ee07b2902be2f065dae9,,,,,,synthetic_heidelberg,pending_manual_review,syntheye_class=unavailable; synthetic_id_faf
images/dissertation_v1/id/train/id_train_000006.png,0,train,synthetic_faf,id,id,UCL SynthEye synthetic FAF,train,cfc64197a83364f5a6aa5678f0e9ba92a4cf59dbb7c000324d84bda2a2688a0c,,,,,,synthetic_heidelberg,pending_manual_review,syntheye_class=unavailable; synthetic_id_faf
images/dissertation_v1/id/train/id_train_000007.png,0,train,synthetic_faf,id,id,UCL SynthEye synthetic FAF,train,05df640508e53a2494804986eb76eb0319545b118a3a259f4be0c275a04ec5f7,,,,,,synthetic_heidelberg,pending_manual_review,syntheye_class=unavailable; synthetic_id_faf
images/dissertation_v1/id/train/id_train_000008.png,0,train,synthetic_faf,id,id,UCL SynthEye synthetic FAF,train,54487fc9bcce722478e679b27987fbfd8c8039f65169c9ca3606fbce53389d63,,,,,,synthetic_heidelberg,pending_manual_review,syntheye_class=unavailable; synthetic_id_faf
images/dissertation_v1/id/train/id_train_000009.png,0,train,synthetic_faf,id,id,UCL SynthEye synthetic FAF,train,b673316216d77f2f89704ff081f7ddaf1f1db5c46563b15d148238bf8f885c8d,,,,,,synthetic_heidelberg,pending_manual_review,syntheye_class=unavailable; synthetic_id_faf
images/dissertation_v1/id/train/id_train_000010.png,0,train,synthetic_faf,id,id,UCL SynthEye synthetic FAF,train,631628dbf19f4461dde58a0866e15ff9f9dd7d991c3beebe6f81f84ad7f506ba,,,,,,synthetic_heidelberg,pending_manual_review,syntheye_class=unavailable; synthetic_id_faf
