image_path,label,split,source,ood_type,ood_subtype,source_dataset,source_url,license_status,source_split,source_image_hash,parent_image_hash,synthetic_transform,severity,notes
images/dissertation_v1/ood/sensory_artifact/arrow_annotation/artifact_000002_02_arrow_annotation.png,1,train,synthetic_artifact,sensory_artifact,arrow_annotation,derived_from_synthetic_faf,,derived_or_generated_synthetic,test,89c552bf4830ea9bca4ce56cc187372ec5b69b3f9dde2e824f2105d781db3e22,3fe16ad039a6555522438a9b9dd1a0de6bd787a7001116e06a97b4f034684ba2,arrow_annotation,,generated from held-out ID only; never from train
images/dissertation_v1/ood/sensory_artifact/arrow_annotation/artifact_000004_02_arrow_annotation.png,1,train,synthetic_artifact,sensory_artifact,arrow_annotation,derived_from_synthetic_faf,,derived_or_generated_synthetic,test,edec883e5d9ab301fa1e202468ecbd4d4a134c80a4af5562ff5bc97816cc1c51,d1f816cb395b94664ca9fc285317aa28d5757c61e7466f4d035552df5a7b2ef4,arrow_annotation,,generated from held-out ID only; never from train
images/dissertation_v1/ood/sensory_artifact/arrow_annotation/artifact_000005_02_arrow_annotation.png,1,train,synthetic_artifact,sensory_artifact,arrow_annotation,derived_from_synthetic_faf,,derived_or_generated_synthetic,test,7f62ac49fe44d1b04e163c52661ed1014f585f198b47e0dfd52c5c935ef1748b,a37d2499bdadac9b672e002cf5b14bc830d68e387c1ea4405083eb6eed030d26,arrow_annotation,,generated from held-out ID only; never from train
images/dissertation_v1/ood/sensory_artifact/arrow_annotation/artifact_000006_02_arrow_annotation.png,1,train,synthetic_artifact,sensory_artifact,arrow_annotation,derived_from_synthetic_faf,,derived_or_generated_synthetic,test,a1be2f682e802075bca2e9965d5c3f7ccca2ffa5e012028ce48985d2ba46f0d8,31d5f5ed5ac046981c6cb1df50192091daa4b282d054e8095b9e025b42afeb88,arrow_annotation,,generated from held-out ID only; never from train
images/dissertation_v1/ood/sensory_artifact/arrow_annotation/artifact_000007_02_arrow_annotation.png,1,train,synthetic_artifact,sensory_artifact,arrow_annotation,derived_from_synthetic_faf,,derived_or_generated_synthetic,test,a5da0ef69d2e3c4b551810eff76635f282bdddaf0b5653a0c70e401fad7af0af,f42ab30d20b276c5fba40818aeb540adbd4fef553ec7196ea828c0a30f5f349f,arrow_annotation,,generated from held-out ID only; never from train
images/dissertation_v1/ood/sensory_artifact/arrow_annotation/artifact_000009_02_arrow_annotation.png,1,train,synthetic_artifact,sensory_artifact,arrow_annotation,derived_from_synthetic_faf,,derived_or_generated_synthetic,test,24ac86b770f5100d07b6856096953a4a1a82f7d8eca7c94772ab0df0f4de5852,2921bd55bd6a1e0c179915271aa18bb9e1f22a278d1c127770fec0cb54d7d88d,arrow_annotation,,generated from held-out ID only; never from train
images/dissertation_v1/ood/sensory_artifact/arrow_annotation/artifact_000010_02_arrow_annotation.png,1,train,synthetic_artifact,sensory_artifact,arrow_annotation,derived_from_synthetic_faf,,derived_or_generated_synthetic,test,e37531e0722b4be2e3b638c5d17787c886795a27ed1717dc8626d09749cb237f,2ce067e78529d59ae5f2ff71b02be86e4f62371b0aa31810d2047f115fe68900,arrow_annotation,,generated from held-out ID only; never from train
images/dissertation_v1/ood/sensory_artifact/arrow_annotation/artifact_000011_02_arrow_annotation.png,1,train,synthetic_artifact,sensory_artifact,arrow_annotation,derived_from_synthetic_faf,,derived_or_generated_synthetic,test,583bcae245ef994c02970ead0c9e8372edc4397c3519f74085156d6553d91e45,d822b0621f3574fb70a96904005d10d950c5fed12e7f0f1c78edbcb396fbd7ac,arrow_annotation,,generated from held-out ID only; never from train
images/dissertation_v1/ood/sensory_artifact/arrow_annotation/artifact_000014_02_arrow_annotation.png,1,train,synthetic_artifact,sensory_artifact,arrow_annotation,derived_from_synthetic_faf,,derived_or_generated_synthetic,test,3bd8408bdd5619041293560e84dcd3a8f94802b705a52ad7063ea73d6b523954,50eb07963b954a027224c212fef91ed6b91ad3d68a58e0fb6e2fd32ccb4b8bd1,arrow_annotation,,generated from held-out ID only; never from train
images/dissertation_v1/ood/sensory_artifact/arrow_annotation/artifact_000015_02_arrow_annotation.png,1,train,synthetic_artifact,sensory_artifact,arrow_annotation,derived_from_synthetic_faf,,derived_or_generated_synthetic,test,343dd166d6fb4a1880d6917ef50efe16401db5a75616262647553300592866b9,38fbaedc8df6557c3519716071afbe70dbb54496bc3eda4dbd28443246ef0539,arrow_annotation,,generated from held-out ID only; never from train
images/dissertation_v1/ood/sensory_artifact/arrow_annotation/artifact_000016_02_arrow_annotation.png,1,train,synthetic_artifact,sensory_artifact,arrow_annotation,derived_from_synthetic_faf,,derived_or_generated_synthetic,test,08607a16bd9125dc3e837866ed078685f6618a74c7684e571628828a497a2c31,9c16a2d52b66788ef6f4635487fc55e1b8f9abf860695b606defc6a4d6726219,arrow_annotation,,generated from held-out ID only; never from train
images/dissertation_v1/ood/sensory_artifact/arrow_annotation/artifact_000018_02_arrow_annotation.png,1,train,synthetic_artifact,sensory_artifact,arrow_annotation,derived_from_synthetic_faf,,derived_or_generated_synthetic,test,b6d0062152e2664e194572a78d39869a3c05d7c414aedb72b34038b94f45fed4,fd6fd89f280a24b4873a415a5fc1f7315de7c22e49be7073c6a9348d08c1f07b,arrow_annotation,,generated from held-out ID only; never from train
images/dissertation_v1/ood/sensory_artifact/arrow_annotation/artifact_000020_02_arrow_annotation.png,1,train,synthetic_artifact,sensory_artifact,arrow_annotation,derived_from_synthetic_faf,,derived_or_generated_synthetic,test,2d0c8fe7e38276255fa31994441685ba45eb8c702a291d451191b984b29d5b12,5db33929cee5ce3d7b21de926a708da9a1e5e2b0c82a9430eebe1296f81aeaa3,arrow_annotation,,generated from held-out ID only; never from train
images/dissertation_v1/ood/sensory_artifact/arrow_annotation/artifact_000021_02_arrow_annotation.png,1,train,synthetic_artifact,sensory_artifact,arrow_annotation,derived_from_synthetic_faf,,derived_or_generated_synthetic,test,f86b8d1691498c94ba3cbc805c5225b3db23de4c101892b3903b3c7bf9f58ad4,4d03a1e9e5af412c9b0f27c2121c6702f6eac8ed7a1ee7be5bf7614449647c3f,arrow_annotation,,generated from held-out ID only; never from train
