eval_set,scheme,scheme_label,run_name,ood_type,auroc,auprc,fpr_at_95_tpr,id_count,ood_count
full_ood_stress,autoencoder,Autoencoder,autoencoder_baseline,sensory_artifact,0.6809277777777778,0.953706502333562,0.96,150,1200
full_ood_stress,autoencoder,Autoencoder,autoencoder_baseline,semantic_outlier,0.9734266666666668,0.9928439185924665,0.14,150,500
full_ood_stress,global_feature_knn,Global feature kNN,global_feature_knn,modality_shift,1.0,1.0,0.0,150,400
full_ood_stress,global_feature_knn,Global feature kNN,global_feature_knn,sensory_artifact,0.9254777777777778,0.9902505123502621,0.5066666666666667,150,1200
full_ood_stress,global_feature_knn,Global feature kNN,global_feature_knn,semantic_outlier,1.0,1.0,0.0,150,500
full_ood_stress,mahalanobis_feature,Mahalanobis feature,mahalanobis_feature,modality_shift,1.0,1.0,0.0,150,400
full_ood_stress,mahalanobis_feature,Mahalanobis feature,mahalanobis_feature,sensory_artifact,0.9621,0.9951602339293335,0.3,150,1200
full_ood_stress,mahalanobis_feature,Mahalanobis feature,mahalanobis_feature,semantic_outlier,1.0,1.0,0.0,150,500
full_ood_stress,patchcore_l3,PatchCore L3,patchcore_layer3,modality_shift,0.9822,0.990787637886512,0.06,150,400
full_ood_stress,patchcore_l3,PatchCore L3,patchcore_layer3,sensory_artifact,0.8431416666666666,0.9777476150831852,0.7,150,1200
full_ood_stress,patchcore_l3,PatchCore L3,patchcore_layer3,semantic_outlier,0.9924266666666667,0.9972389594020399,0.02666666666666667,150,500
full_ood_stress,patchcore_l2_l3,PatchCore L2+L3,patchcore_layer2_layer3,modality_shift,0.9919333333333333,0.9965382831097296,0.05333333333333334,150,400
full_ood_stress,patchcore_l2_l3,PatchCore L2+L3,patchcore_layer2_layer3,sensory_artifact,0.8273722222222223,0.9760457051356057,0.74,150,1200
full_ood_stress,patchcore_l2_l3,PatchCore L2+L3,patchcore_layer2_layer3,semantic_outlier,0.9907333333333334,0.9967101426928543,0.04,150,500
